"10143091|1-1- Introduction|wePUPergTeeOoETUKyrD",
"10096058|14-3- Creating Indexes|hbOJOyrQMOpeQzDjX0BY",
"10096061|14-4- Viewing Indexes|LqqaAQGZShOMsA2yUuUy",
"10096056|14-5- Prefix Indexes|zKGU9TfGSK6gEhbDYi1V",
"10096060|14-6- Full-text Indexes|LjlB60NQMm9GhgaQ6vbF",
"10096059|14-7- Composite Indexes|2mFxBpPeRFavJuU6zaeB",
"10096051|14-8- Order of Columns in Composite Indexes|uPOxoNSTJi7tjLj63F6E",
"10096062|14-9- When Indexes are Ignored|rUNbPS1GRB27pE7Ts5a9",
"10096052|14-10- Using Indexes for Sorting|o2VbnK0hQnud5HrTgAqL",
"10096053|14-11- Covering Indexese|outsRGwGSk2CRuXChfwK",
"10096050|14-12- Index Maintenance|QO8p66U1QLuQEuNHMw7o",
"10108074|15-1- Introduction|tviZ2lB5S6G4awr9U1hT",
"10108075|15-2- Creating a User|9PfqzEQSu6DVpNHfx82g",
"10108081|15-3- Viewing Users|tRTi79N6R6GgHKoW7gcr",
"10108080|15-4- Dropping Users|HAcYb6HQ8WAVnGxecGrw",
"10108079|15-5- Changing Passwords|TOKmWq5bQCeHLRCMwITV",
"10108076|15-6- Granting Privileges|DwL029C6QA2b7ACHP6dl",
"10108078|15-7- Viewing Privileges|MXRiD1oKRm281sbhXTs2",
"10108077|15-8- Revoking Privileges|fA6fBC41T2uWqtSLBqdN",
"10142300|15-9- Wrap Up|eEGsbl82S1uEYoHpoieH",












